	gene_human	entrez_id_human	gene_mouse	MGI	MP
17334	PAXBP1	94104	Paxbp1	MGI:1914617	MP:0010768
17335	PAXIP1	22976	Paxip1	MGI:1890430	MP:0005376, MP:0005378, MP:0005380, MP:0005384, MP:0005385, MP:0010768, MP:0010771
17336	PAXX	286257	Paxx	MGI:2442831	MP:0005376, MP:0005387, MP:0005389, MP:0005397, MP:0010768
17337	PBDC1	51260	Pbdc1	MGI:1914933	
17338	PBK	55872	Pbk	MGI:1289156	MP:0005387, MP:0010771
17339	PBLD	64081	Pbld1	MGI:1915621	
17340	PBLD	64081	Pbld2	MGI:1914557	MP:0005389, MP:0010768
17341	PBRM1	55193	Pbrm1	MGI:1923998	MP:0003631, MP:0005367, MP:0005370, MP:0005376, MP:0005380, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005397, MP:0010768
17342	PBX1	5087	Pbx1	MGI:97495	MP:0003631, MP:0005367, MP:0005369, MP:0005370, MP:0005371, MP:0005376, MP:0005377, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005390, MP:0005391, MP:0005397, MP:0010768, MP:0010771
17343	PBX2	5089	Pbx2	MGI:1341793	
17344	PBX3	5090	Pbx3	MGI:97496	MP:0003631, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005382, MP:0005384, MP:0005386, MP:0005388, MP:0005389, MP:0005390, MP:0010768
17345	PBX4	80714	Pbx4	MGI:1931321	
17346	PBXIP1	57326	Pbxip1	MGI:2441670	MP:0005371, MP:0005376, MP:0005378, MP:0005387, MP:0005390
17347	PC	5091	Pcx	MGI:97520	MP:0005367, MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005384, MP:0005386, MP:0005390, MP:0010768
17348	PCARE	388939	Pcare	MGI:2385061	MP:0001186, MP:0003631, MP:0005384, MP:0005387, MP:0005391, MP:0005397
17349	PCBD1	5092	Pcbd1	MGI:94873	MP:0001186, MP:0005367, MP:0005376, MP:0005391, MP:0010771
17350	PCBD2	84105	Pcbd2	MGI:1919812	
17351	PCBP1	5093	Pcbp1	MGI:1345635	MP:0005378, MP:0010768
17352	PCBP2	5094	Pcbp2	MGI:108202	MP:0005376, MP:0005378, MP:0005385, MP:0005397, MP:0010768, MP:0010771
17353	PCBP3	54039	Pcbp3	MGI:1890470	
17354	PCBP4	57060	Pcbp4	MGI:1890471	MP:0002006, MP:0005367, MP:0005378, MP:0005384, MP:0005388
17355	PCCA	5095	Pcca	MGI:97499	MP:0005367, MP:0005370, MP:0005376, MP:0005386, MP:0010768, MP:0010771
17356	PCCB	5096	Pccb	MGI:1914154	MP:0005367, MP:0005378, MP:0010768
17357	PCDH1	5097	Pcdh1	MGI:104692	MP:0010771
17358	PCDH10	57575	Pcdh10	MGI:1338042	MP:0003631, MP:0005378, MP:0005386, MP:0005390, MP:0010768
17359	PCDH11X	27328	Pcdh11x	MGI:2442849	
17360	PCDH11Y	83259	Pcdh11x	MGI:2442849	
17361	PCDH12	51294	Pcdh12	MGI:1855700	
17362	PCDH15	65217	Pcdh15	MGI:1891428	MP:0003631, MP:0005369, MP:0005376, MP:0005377, MP:0005378, MP:0005384, MP:0005386, MP:0005390, MP:0005391
17363	PCDH17	27253	Pcdh17	MGI:2684924	MP:0003631, MP:0005386
17364	PCDH18	54510	Pcdh18	MGI:1920423	MP:0005371, MP:0005375, MP:0005378, MP:0005385, MP:0005390, MP:0005391
17365	PCDH19	57526	Pcdh19	MGI:2685563	MP:0003631, MP:0005384
17366	PCDH20	64881	Pcdh20	MGI:2443376	MP:0005369, MP:0005385, MP:0005386
17367	PCDH7	5099	Pcdh7	MGI:1860487	MP:0005387, MP:0005390, MP:0005397
17368	PCDH8	5100	Pcdh8	MGI:1306800	MP:0005376
17369	PCDH9	5101	Pcdh9	MGI:1306801	MP:0003631, MP:0005376, MP:0005386, MP:0010768
17370	PCDHA1	56147	Pcdha1	MGI:2150982	
17371	PCDHA10	56139	Pcdha9	MGI:2447322	MP:0005378, MP:0005385, MP:0005386
17372	PCDHA11	56138	Pcdha11	MGI:1298372	
17373	PCDHA12	56137	Pcdha10	MGI:1298408	
17374	PCDHA13	56136	Pcdha12	MGI:1298370	
17375	PCDHA2	56146	Pcdha2	MGI:2681880	MP:0005387, MP:0005390
17376	PCDHA3	56145	Pcdha3	MGI:2447313	
17377	PCDHA4	56144	Gm37013	MGI:5610241	
17378	PCDHA4	56144	Pcdha4	MGI:1298406	
17379	PCDHA5	56143	Pcdha5	MGI:1298371	
17380	PCDHA6	56142	Pcdha6	MGI:1298367	
17381	PCDHA7	56141	Pcdha7	MGI:1298369	
17382	PCDHA8	56140	Pcdha6	MGI:1298367	
17383	PCDHA9	9752	Pcdha8	MGI:2681879	
17384	PCDHAC1	56135	Pcdhac1	MGI:1891442	
17385	PCDHAC2	56134	Pcdhac2	MGI:1891443	
17386	PCDHB1	29930	Pcdhb1	MGI:2136730	
17387	PCDHB10	56126	Pcdhb18	MGI:2136756	
17388	PCDHB11	56125	Pcdhb19	MGI:2136757	
17389	PCDHB11	56125	Pcdhb21	MGI:2136759	
17390	PCDHB12	56124	Pcdhb19	MGI:2136757	
17391	PCDHB12	56124	Pcdhb21	MGI:2136759	
17392	PCDHB13	56123	Pcdhb16	MGI:2136752	
17393	PCDHB14	56122	Pcdhb20	MGI:2136758	
17394	PCDHB15	56121	Pcdhb22	MGI:2136760	MP:0005397
17395	PCDHB16	57717	Pcdhb17	MGI:2136754	
17396	PCDHB18P	54660	Pcdhb19	MGI:2136757	
17397	PCDHB18P	54660	Pcdhb21	MGI:2136759	
17398	PCDHB2	56133	Pcdhb2	MGI:2136735	
17399	PCDHB3	56132	Pcdhb3	MGI:2136737	
17400	PCDHB4	56131	Pcdhb5	MGI:2136739	
17401	PCDHB4	56131	Pcdhb7	MGI:2136741	
17402	PCDHB4	56131	Pcdhb9	MGI:2136744	MP:0005377, MP:0005386
17403	PCDHB5	26167	Pcdhb10	MGI:2136745	MP:0005391, MP:0005397
17404	PCDHB5	26167	Pcdhb11	MGI:2136746	
17405	PCDHB5	26167	Pcdhb12	MGI:2136747	
17406	PCDHB5	26167	Pcdhb4	MGI:2136738	
17407	PCDHB5	26167	Pcdhb6	MGI:2136740	
17408	PCDHB5	26167	Pcdhb8	MGI:2136742	
17409	PCDHB6	56130	Pcdhb13	MGI:2136748	MP:0005367, MP:0005376, MP:0005378, MP:0005387, MP:0005390, MP:0005397
17410	PCDHB7	56129	Pcdhb15	MGI:2136750	
17411	PCDHB8	56128	Pcdhb16	MGI:2136752	
17412	PCDHB9	56127	Pcdhb18	MGI:2136756	
17413	PCDHGA1	56114	Pcdhga1	MGI:1935212	
17414	PCDHGA10	56106	Pcdhga10	MGI:1935227	
17415	PCDHGA11	56105	Pcdhga11	MGI:1935228	
17416	PCDHGA12	26025	Pcdhga12	MGI:1935229	
17417	PCDHGA2	56113	Pcdhga2	MGI:1935214	
17418	PCDHGA3	56112	Pcdhga3	MGI:1935215	
17419	PCDHGA4	56111	Pcdhga4	MGI:1935216	
17420	PCDHGA5	56110	Pcdhga5	MGI:1935217	
17421	PCDHGA6	56109	Pcdhga6	MGI:1935218	
17422	PCDHGA7	56108	Pcdhga7	MGI:1935219	
17423	PCDHGA8	9708	Pcdhga8	MGI:1935221	
17424	PCDHGA9	56107	Pcdhga9	MGI:1935226	
17425	PCDHGB1	56104	Pcdhgb1	MGI:1935169	MP:0005386
17426	PCDHGB2	56103	Pcdhgb2	MGI:1935170	MP:0005376
17427	PCDHGB3	56102	Pcdhgb8	MGI:1935200	
17428	PCDHGB4	8641	Pcdhgb4	MGI:1935173	
17429	PCDHGB5	56101	Pcdhgb5	MGI:1935196	
17430	PCDHGB6	56100	Pcdhgb6	MGI:1935197	
17431	PCDHGB7	56099	Pcdhgb7	MGI:1935199	
17432	PCDHGB8P	56120	Pcdhgb8	MGI:1935200	
17433	PCDHGC3	5098	Pcdhgc3	MGI:1935201	MP:0005385
17434	PCDHGC4	56098	Pcdhgc4	MGI:1935203	
17435	PCDHGC5	56097	Pcdhgc5	MGI:1935205	
17436	PCED1A	64773	Pced1a	MGI:2442177	
17437	PCED1B	91523	Pced1b	MGI:2446270	
17438	PCF11	51585	Pcf11	MGI:1919579	
17439	PCGF1	84759	Pcgf1	MGI:1917087	MP:0003631, MP:0005376, MP:0005378, MP:0005380, MP:0005382, MP:0005385, MP:0005386, MP:0005391, MP:0010768
17440	PCGF2	7703	Pcgf2	MGI:99161	MP:0005378, MP:0005379, MP:0005382, MP:0005387, MP:0005389, MP:0005390, MP:0005397, MP:0010768
17441	PCGF3	10336	Pcgf3	MGI:1916837	MP:0005371, MP:0005378, MP:0005380, MP:0005381, MP:0005382, MP:0005386, MP:0005391, MP:0010768
17442	PCGF5	84333	Pcgf5	MGI:1923505	
17443	PCGF6	84108	Pcgf6	MGI:1918291	MP:0005378, MP:0005380, MP:0005390, MP:0005397, MP:0010768
17444	PCID2	55795	Pcid2	MGI:2443003	MP:0005379, MP:0005381, MP:0005384, MP:0005387, MP:0005397, MP:0010768
17445	PCIF1	63935	Pcif1	MGI:2443858	MP:0005378, MP:0005386, MP:0005390, MP:0005391, MP:0010768
17446	PCK1	5105	Pck1	MGI:97501	MP:0005370, MP:0005375, MP:0005376, MP:0005378, MP:0005386, MP:0010768, MP:0010771
17447	PCK2	5106	Pck2	MGI:1860456	MP:0005376, MP:0005381, MP:0005387, MP:0005389, MP:0010771
17448	PCLAF	9768	Pclaf	MGI:1915276	MP:0005376, MP:0005379, MP:0005384, MP:0005387, MP:0005397
17449	PCLO	27445	Pclo	MGI:1349390	MP:0003631, MP:0005378, MP:0010768
17450	PCM1	5108	Pcm1	MGI:1277958	MP:0001186, MP:0003631, MP:0005376, MP:0005378, MP:0005382, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005397, MP:0010768, MP:0010771
17451	PCMT1	5110	Pcmt1	MGI:97502	MP:0003631, MP:0005369, MP:0005376, MP:0005378, MP:0005384, MP:0005386, MP:0005387, MP:0005388, MP:0005390, MP:0005397, MP:0010768
17452	PCMTD1	115294	Pcmtd1	MGI:2441773	
17453	PCMTD2	55251	Pcmtd2	MGI:1923927	
17454	PCNA	5111	Pcna	MGI:97503	MP:0005375, MP:0005378, MP:0005379, MP:0005384, MP:0005387, MP:0005389, MP:0005397, MP:0010768
17455	PCNP	57092	Pcnp	MGI:1923552	MP:0003631, MP:0005380, MP:0005382, MP:0005385, MP:0005389, MP:0005391, MP:0010768, MP:0010771
17456	PCNT	5116	Pcnt	MGI:102722	MP:0003631, MP:0005367, MP:0005371, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005388, MP:0005389, MP:0005390, MP:0005391, MP:0010768, MP:0010771
17457	PCNX1	22990	Pcnx	MGI:1891924	
17458	PCNX2	80003	Pcnx2	MGI:2445010	MP:0005376, MP:0005386, MP:0005390
17459	PCNX3	399909	Pcnx3	MGI:1861733	
17460	PCNX4	64430	Pcnx4	MGI:1914958	MP:0005377
17461	PCOLCE	5118	Pcolce	MGI:105099	MP:0005369, MP:0005371, MP:0005390
17462	PCOLCE2	26577	Pcolce2	MGI:1923727	
17463	PCP2	126006	Pcp2	MGI:97508	
17464	PCP4	5121	Pcp4	MGI:97509	MP:0003631, MP:0005386
17465	PCP4L1	654790	Pcp4l1	MGI:1913675	MP:0005377, MP:0005386
17466	PCSK1	5122	Pcsk1	MGI:97511	MP:0003631, MP:0005369, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010768
17467	PCSK1N	27344	Pcsk1n	MGI:1353431	MP:0005378, MP:0005381, MP:0005386, MP:0005388, MP:0005391
17468	PCSK2	5126	Pcsk2	MGI:97512	MP:0002006, MP:0005367, MP:0005376, MP:0005379, MP:0005384, MP:0005385, MP:0005386, MP:0005389, MP:0005397, MP:0010768, MP:0010771
17469	PCSK4	54760	Pcsk4	MGI:97514	MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005389
17470	PCSK5	5125	Pcsk5	MGI:97515	MP:0003631, MP:0005367, MP:0005371, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005390, MP:0005397, MP:0010768
17471	PCSK6	5046	Pcsk6	MGI:102897	MP:0002006, MP:0003631, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005385, MP:0005388, MP:0005389, MP:0005390, MP:0005391, MP:0010768
17472	PCSK7	9159	Pcsk7	MGI:107421	
17473	PCSK9	255738	Pcsk9	MGI:2140260	MP:0005370, MP:0005376
17474	PCTP	58488	Pctp	MGI:107375	MP:0005370, MP:0005376, MP:0005384, MP:0005387, MP:0005397
17475	PCYOX1	51449	Pcyox1	MGI:1914131	
17476	PCYOX1L	78991	Pcyox1l	MGI:3606062	MP:0005375, MP:0005377, MP:0005378, MP:0005385, MP:0005386, MP:0005390
17477	PCYT1A	5130	Pcyt1a	MGI:88557	MP:0005376, MP:0005380, MP:0005385, MP:0005387, MP:0005388, MP:0005389, MP:0005397, MP:0010768
17478	PCYT1B	9468	Pcyt1b	MGI:2147987	MP:0002006, MP:0005376, MP:0005378, MP:0005379, MP:0005389
17479	PCYT2	5833	Pcyt2	MGI:1915921	MP:0005370, MP:0005376, MP:0010768
17480	PDAP1	11333	Pdap1	MGI:2448536	MP:0005384, MP:0005387, MP:0005397
17481	PDC	5132	Pdc	MGI:98090	MP:0003631, MP:0005367, MP:0005369, MP:0005376, MP:0005385, MP:0005391
17482	PDCD1	5133	Pdcd1	MGI:104879	MP:0002006, MP:0003631, MP:0005367, MP:0005369, MP:0005370, MP:0005378, MP:0005379, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005390, MP:0005391, MP:0005397, MP:0010768
17483	PDCD10	11235	Pdcd10	MGI:1928396	MP:0002006, MP:0003631, MP:0005367, MP:0005369, MP:0005376, MP:0005378, MP:0005380, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005391, MP:0005397, MP:0010768, MP:0010771
17484	PDCD11	22984	Pdcd11	MGI:1341788	
17485	PDCD1LG2	80380	Pdcd1lg2	MGI:1930125	MP:0002006, MP:0005376, MP:0005379, MP:0005384, MP:0005387, MP:0005397, MP:0010768
17486	PDCD2	5134	Pdcd2	MGI:104643	MP:0005378, MP:0005380, MP:0005391, MP:0010768
17487	PDCD2L	84306	Pdcd2l	MGI:1915329	MP:0010768
17488	PDCD4	27250	Pdcd4	MGI:107490	MP:0002006, MP:0005367, MP:0005378, MP:0005379, MP:0005387, MP:0005389, MP:0010768
17489	PDCD5	9141	Pdcd5	MGI:1913538	
17490	PDCD5	9141	Pdcd5-ps	MGI:3782009	
17491	PDCD6	10016	Pdcd6	MGI:109283	
17492	PDCD6IP	10015	Pdcd6ip	MGI:1333753	MP:0003631, MP:0005367, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0005389, MP:0005390, MP:0005391, MP:0005397, MP:0010768, MP:0010771
17493	PDCD7	10081	Pdcd7	MGI:1859170	MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010768
17494	PDCL	5082	Pdcl	MGI:1914716	MP:0003631, MP:0005376, MP:0005391
17495	PDCL2	132954	Pdcl2	MGI:1890655	
17496	PDCL3	79031	Pdcl3	MGI:1916083	
17497	PDE10A	10846	Pde10a	MGI:1345143	MP:0003631, MP:0005375, MP:0005376, MP:0005378, MP:0005386, MP:0005397
17498	PDE11A	50940	Pde11a	MGI:3036251	MP:0003631, MP:0005379, MP:0005386, MP:0005389, MP:0005391
17499	PDE12	201626	Pde12	MGI:2443226	MP:0010768
17500	PDE1A	5136	Pde1a	MGI:1201792	MP:0005367, MP:0005369, MP:0005375, MP:0005376, MP:0005378, MP:0005385, MP:0005386
17501	PDE1B	5153	Pde1b	MGI:97523	MP:0005386, MP:0005397, MP:0010768
17502	PDE1C	5137	Pde1c	MGI:108413	MP:0005394
17503	PDE2A	5138	Pde2a	MGI:2446107	MP:0005376, MP:0005378, MP:0005385, MP:0005387, MP:0005397, MP:0010768
17504	PDE3A	5139	Pde3a	MGI:1860764	MP:0005389
17505	PDE3B	5140	Pde3b	MGI:1333863	MP:0001186, MP:0005371, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005390, MP:0010771
17506	PDE4A	5141	Pde4a	MGI:99558	
17507	PDE4B	5142	Pde4b	MGI:99557	MP:0003631, MP:0005384, MP:0005386, MP:0005387, MP:0005397, MP:0010768
17508	PDE4C	5143	Pde4c	MGI:99556	MP:0005386
17509	PDE4D	5144	Pde4d	MGI:99555	MP:0005369, MP:0005376, MP:0005378, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005397, MP:0010768
17510	PDE4DIP	9659	Pde4dip	MGI:1891434	MP:0005386, MP:0005390, MP:0005391, MP:0005397, MP:0010768
17511	PDE5A	8654	Pde5a	MGI:2651499	MP:0005370, MP:0005371, MP:0005378, MP:0005387, MP:0005390, MP:0005397
17512	PDE6A	5145	Pde6a	MGI:97524	MP:0003631, MP:0005376, MP:0005378, MP:0005385, MP:0005391, MP:0010771
17513	PDE6B	5158	Pde6b	MGI:97525	MP:0003631, MP:0005378, MP:0005385, MP:0005386, MP:0005391
17514	PDE6C	5146	Pde6c	MGI:105956	MP:0003631, MP:0005391
17515	PDE6D	5147	Pde6d	MGI:1270843	MP:0003631, MP:0005378, MP:0005391
17516	PDE6G	5148	Pde6g	MGI:97526	MP:0003631, MP:0005391
17517	PDE6H	5149	Pde6h	MGI:1925850	
17518	PDE7A	5150	Pde7a	MGI:1202402	MP:0005387
17519	PDE7B	27115	Pde7b	MGI:1352752	MP:0005376
17520	PDE8A	5151	Pde8a	MGI:1277116	MP:0003631, MP:0005375, MP:0005376, MP:0005378, MP:0005386
17521	PDE8B	8622	Pde8b	MGI:2443999	MP:0005367, MP:0005376
17522	PDE9A	5152	Pde9a	MGI:1277179	MP:0005376, MP:0005385
17523	PDF	64146	Pdf	MGI:1915273	
17524	PDGFA	5154	Pdgfa	MGI:97527	MP:0005369, MP:0005378, MP:0005381, MP:0005385, MP:0005388, MP:0005389, MP:0010768
17525	PDGFB	5155	Pdgfb	MGI:97528	MP:0001186, MP:0003631, MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005380, MP:0005385, MP:0005387, MP:0005388, MP:0005389, MP:0005391, MP:0005397, MP:0010768, MP:0010771
17526	PDGFC	56034	Pdgfc	MGI:1859631	MP:0001186, MP:0003631, MP:0005367, MP:0005370, MP:0005371, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005387, MP:0005388, MP:0005389, MP:0005390, MP:0005391, MP:0005397, MP:0010768, MP:0010771
17527	PDGFD	80310	Pdgfd	MGI:1919035	MP:0005367, MP:0005376, MP:0005378, MP:0005385, MP:0005389
17528	PDGFRA	5156	Pdgfra	MGI:97530	MP:0002006, MP:0003631, MP:0005367, MP:0005369, MP:0005371, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005389, MP:0005390, MP:0005397, MP:0010768, MP:0010771
17529	PDGFRB	5159	Pdgfrb	MGI:97531	MP:0003631, MP:0005367, MP:0005369, MP:0005371, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005391, MP:0005397, MP:0010768, MP:0010771
17530	PDGFRL	5157	Pdgfrl	MGI:1916047	MP:0005376, MP:0005397
17531	PDHA1	5160	Pdha1	MGI:97532	MP:0003631, MP:0005369, MP:0005376, MP:0005378, MP:0005380, MP:0005384, MP:0005385, MP:0005389, MP:0010768
17532	PDHA2	5161	Pdha2	MGI:97533	MP:0005387, MP:0005397
17533	PDHB	5162	Pdhb	MGI:1915513	MP:0003631, MP:0005378, MP:0005380, MP:0005382, MP:0005385, MP:0005391, MP:0010768
17534	PDHX	8050	Pdhx	MGI:1351627	MP:0005385, MP:0005391, MP:0010768
17535	PDIA2	64714	Pdia2	MGI:1916441	
17536	PDIA3	2923	Pdia3	MGI:95834	MP:0005378, MP:0005380, MP:0005384, MP:0005387, MP:0005390, MP:0005397, MP:0010768, MP:0010771
17537	PDIA4	9601	Pdia4	MGI:104864	MP:0005376, MP:0005397
17538	PDIA5	10954	Pdia5	MGI:1919849	
17539	PDIA6	10130	Pdia6	MGI:1919103	MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005387, MP:0005397, MP:0010768
17540	PDIK1L	149420	Pdik1l	MGI:2385213	MP:0005367, MP:0005370, MP:0005378, MP:0005379, MP:0005385, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010771
17541	PDILT	204474	Pdilt	MGI:1919080	MP:0005384, MP:0005389
17542	PDK1	5163	Pdk1	MGI:1926119	MP:0005379, MP:0005389
17543	PDK2	5164	Pdk2	MGI:1343087	MP:0003631, MP:0005367, MP:0005369, MP:0005370, MP:0005378, MP:0005379, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010771
17544	PDK3	5165	Pdk3	MGI:2384308	
17545	PDK4	5166	Pdk4	MGI:1351481	MP:0005370, MP:0005376, MP:0005384, MP:0005387, MP:0005390, MP:0005397
17546	PDLIM1	9124	Pdlim1	MGI:1860611	MP:0005376, MP:0005397
17547	PDLIM2	64236	Pdlim2	MGI:2384850	MP:0005387, MP:0005397
17548	PDLIM3	27295	Pdlim3	MGI:1859274	MP:0005369, MP:0005376, MP:0005385, MP:0010768
17549	PDLIM4	8572	Pdlim4	MGI:1353470	
17550	PDLIM5	10611	Pdlim5	MGI:1927489	MP:0003631, MP:0005369, MP:0005378, MP:0005385, MP:0005386, MP:0010768
17551	PDLIM7	9260	Pdlim7	MGI:1914649	MP:0005370, MP:0005376, MP:0005378, MP:0005385, MP:0005387, MP:0005388, MP:0005391, MP:0005397, MP:0010768, MP:0010771
17552	PDP1	54704	Pdp1	MGI:2685870	MP:0005376, MP:0005378, MP:0005379, MP:0005385, MP:0005386, MP:0005389, MP:0005391, MP:0005397
17553	PDP2	57546	Pdp2	MGI:1918878	MP:0005391
17554	PDPK1	5170	Pdpk1	MGI:1338068	MP:0003631, MP:0005367, MP:0005369, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010768
17555	PDPK2P	653650	Pdpk1	MGI:1338068	MP:0003631, MP:0005367, MP:0005369, MP:0005375, MP:0005376, MP:0005378, MP:0005379, MP:0005380, MP:0005382, MP:0005384, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005391, MP:0005397, MP:0010768
17556	PDPN	10630	Pdpn	MGI:103098	MP:0005369, MP:0005376, MP:0005378, MP:0005381, MP:0005385, MP:0005386, MP:0005387, MP:0005388, MP:0010768, MP:0010771
17557	PDPR	55066	Pdpr	MGI:2442188	MP:0005376, MP:0005386, MP:0005387, MP:0005397
17558	PDRG1	81572	Pdrg1	MGI:1915809	
17559	PDS5A	23244	Pds5a	MGI:1918771	MP:0003631, MP:0005367, MP:0005375, MP:0005378, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005388, MP:0005390, MP:0010768, MP:0010771
17560	PDS5B	23047	Pds5b	MGI:2140945	MP:0003631, MP:0005371, MP:0005375, MP:0005376, MP:0005378, MP:0005381, MP:0005382, MP:0005384, MP:0005385, MP:0005388, MP:0005389, MP:0005390, MP:0010768, MP:0010771
17561	PDSS1	23590	Pdss1	MGI:1889278	MP:0005370, MP:0005378, MP:0005379, MP:0005389, MP:0010768
17562	PDSS2	57107	Pdss2	MGI:1918615	MP:0003631, MP:0005367, MP:0005369, MP:0005375, MP:0005376, MP:0005378, MP:0005381, MP:0005382, MP:0005384, MP:0005386, MP:0005387, MP:0005388, MP:0005390, MP:0005397, MP:0010768
17563	PDX1	3651	Pdx1	MGI:102851	MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005378, MP:0005379, MP:0005381, MP:0005384, MP:0005387, MP:0010768, MP:0010771
17564	PDXDC1	23042	Pdxdc1	MGI:1920909	MP:0005378, MP:0005379, MP:0005386, MP:0005389, MP:0010771
17565	PDXDC2P	109731405	Pdxdc1	MGI:1920909	MP:0005378, MP:0005379, MP:0005386, MP:0005389, MP:0010771
17566	PDXK	8566	Pdxk	MGI:1351869	MP:0010768
17567	PDXP	57026	Pdxp	MGI:1919282	MP:0005369, MP:0005376, MP:0005378, MP:0005386, MP:0005387, MP:0005390, MP:0005397
17568	PDYN	5173	Pdyn	MGI:97535	MP:0003631, MP:0005375, MP:0005376, MP:0005378, MP:0005381, MP:0005386, MP:0005390, MP:0005397, MP:0010771
17569	PDZD11	51248	Pdzd11	MGI:1919871	
17570	PDZD2	23037	Pdzd2	MGI:1922394	MP:0005376, MP:0005379
17571	PDZD4	57595	Pdzd4	MGI:2443483	
17572	PDZD7	79955	Pdzd7	MGI:3608325	MP:0003631, MP:0005377, MP:0005384
17573	PDZD8	118987	Pdzd8	MGI:2677270	MP:0003631, MP:0005376, MP:0005378, MP:0005386, MP:0005387, MP:0005397, MP:0010768, MP:0010771
17574	PDZD9	255762	Pdzd9	MGI:1915233	
17575	PDZK1	5174	Pdzk1	MGI:1928901	MP:0003631, MP:0005369, MP:0005370, MP:0005371, MP:0005376, MP:0005380, MP:0005385, MP:0005387, MP:0005388, MP:0005390, MP:0005391, MP:0010768, MP:0010771
17576	PDZK1IP1	10158	Pdzk1ip1	MGI:1914432	
17577	PDZK1P1	100034743	Pdzk1	MGI:1928901	MP:0003631, MP:0005369, MP:0005370, MP:0005371, MP:0005376, MP:0005380, MP:0005385, MP:0005387, MP:0005388, MP:0005390, MP:0005391, MP:0010768, MP:0010771
17578	PDZPH1P	105379197	Pdzph1	MGI:1916489	
17579	PDZRN3	23024	Pdzrn3	MGI:1933157	MP:0003631, MP:0005378, MP:0005380, MP:0005385, MP:0010768
17580	PDZRN4	29951	Pdzrn4	MGI:3056996	
17581	PEA15	8682	Pea15a	MGI:104799	MP:0003631, MP:0005378, MP:0005384, MP:0005389
17582	PEAK1	79834	Peak1	MGI:2442366	MP:0002006, MP:0005378, MP:0005382, MP:0005385, MP:0005386, MP:0005390, MP:0005391, MP:0005397
17583	PEAR1	375033	Pear1	MGI:1920432	MP:0005376, MP:0005397
17584	PEBP1	5037	Pbp2	MGI:1923650	
17585	PEBP1	5037	Pebp1	MGI:1344408	MP:0003631, MP:0005367, MP:0005370, MP:0005379, MP:0005385, MP:0005386, MP:0005387, MP:0005389, MP:0005390, MP:0005391, MP:0005394, MP:0005397, MP:0010771
17586	PEBP4	157310	Pebp4	MGI:1920773	MP:0005378
17587	PECAM1	5175	Pecam1	MGI:97537	MP:0005367, MP:0005369, MP:0005370, MP:0005376, MP:0005384, MP:0005385, MP:0005387, MP:0005388, MP:0005390, MP:0005397
17588	PECR	55825	Pecr	MGI:2148199	
17589	PEDS1	387521	Peds1	MGI:2142624	
17590	PEDS1	387521	Ube2v1	MGI:1913839	
17591	PEDS1-UBE2V1	387522	Peds1	MGI:2142624	
